LOSS_G,LOSS_G_IDENTITY,LOSS_G_GAN,LOSS_G_CYCLE,LOSS_D
9.605,2.7923,1.0631,5.7498,0.3331
8.548,2.4257,1.0624,5.0604,0.2169
8.155,2.2947,1.1669,4.6936,0.2035
7.994,2.1416,1.2401,4.6128,0.1918
7.395,1.9507,1.2913,4.1536,0.2085
6.792,1.7739,1.1316,3.8868,0.2242
6.506,1.701,1.1826,3.6227,0.2021
6.57,1.7029,1.064,3.8034,0.2456
6.378,1.6541,1.1521,3.5722,0.2236
6.142,1.585,1.1403,3.4175,0.1935
6.271,1.5977,1.1618,3.5123,0.1939
6.037,1.577,1.2113,3.2491,0.1984
5.944,1.5096,1.2239,3.2114,0.192
6.024,1.522,1.2389,3.264,0.1914
6.554,1.6333,1.3233,3.5983,0.1648
5.558,1.4112,1.1946,2.9529,0.2107
5.843,1.4671,1.1675,3.2091,0.2281
5.379,1.3181,1.1874,2.8742,0.2014
5.496,1.3483,1.1922,2.9555,0.2012
5.369,1.2959,1.1989,2.8744,0.2007
5.292,1.2772,1.1901,2.8256,0.203
5.071,1.2421,1.1419,2.6877,0.209
5.186,1.253,1.1266,2.8072,0.2056
4.963,1.2127,1.0906,2.6602,0.2071
5.023,1.2154,1.1622,2.6457,0.2008
4.963,1.1887,1.1518,2.6226,0.2064
5.051,1.2023,1.1727,2.6768,0.2228
4.89,1.1768,1.1434,2.5702,0.2335
4.831,1.1613,1.1302,2.5395,0.1907
4.934,1.1206,1.2692,2.5448,0.1774
5.163,1.2011,1.1898,2.7728,0.1898
4.842,1.1445,1.1437,2.5542,0.2175
4.706,1.1095,1.1804,2.417,0.2083
4.896,1.1235,1.1995,2.5736,0.208
4.726,1.0832,1.191,2.452,0.2086
4.852,1.1037,1.1898,2.559,0.1925
4.854,1.0844,1.24,2.5306,0.1952
4.586,1.0704,1.1175,2.3982,0.2086
4.646,1.0606,1.1815,2.4039,0.2173
4.599,1.0183,1.1826,2.399,0.1887
4.551,1.0239,1.1443,2.3831,0.2047
4.607,1.0159,1.2036,2.3876,0.1867
4.418,1.0112,1.0559,2.3515,0.2153
4.391,0.9627,1.1709,2.2583,0.2043
4.574,1.024,1.1884,2.3622,0.2181
4.556,0.9817,1.2002,2.3749,0.2149
4.391,0.9551,1.196,2.2406,0.1827
4.267,0.9395,1.133,2.1948,0.2219
4.73,1.0051,1.2437,2.4816,0.1871
4.315,0.943,1.1775,2.1949,0.1992
4.512,0.9588,1.2572,2.2962,0.1823
4.238,0.9195,1.1767,2.142,0.1758
4.426,0.9282,1.2561,2.2423,0.1688
4.274,0.8992,1.2056,2.1699,0.1917
4.036,0.8525,1.1486,2.0356,0.1921
4.441,0.9203,1.2897,2.2316,0.1834
4.239,0.8772,1.2432,2.1188,0.1856
4.146,0.8566,1.2037,2.086,0.1896
4.47,0.9202,1.2696,2.2809,0.1761
4.347,0.886,1.3102,2.1512,0.166
4.212,0.8481,1.3222,2.0424,0.1571
4.39,0.8855,1.2839,2.2211,0.1714
4.185,0.8582,1.244,2.0828,0.1829
4.013,0.8235,1.1768,2.0135,0.1913
4.177,0.8327,1.2605,2.0847,0.1989
4.025,0.8098,1.2185,1.9976,0.169
4.247,0.8365,1.3039,2.1069,0.1679
4.261,0.8219,1.3444,2.0953,0.1569
4.021,0.7968,1.226,1.999,0.1703
4.529,0.8564,1.3199,2.3529,0.1798
4.152,0.8022,1.3128,2.0371,0.1621
4.259,0.8307,1.3543,2.0741,0.1556
4.035,0.7935,1.2566,1.9854,0.1442
4.722,0.9222,1.4425,2.3579,0.161
4.178,0.8496,1.2751,2.0538,0.1839
3.993,0.7941,1.2291,1.9703,0.1713
3.875,0.7484,1.2225,1.9042,0.1904
3.922,0.7642,1.2316,1.9267,0.1959
4.126,0.7745,1.3287,2.0232,0.1671
4.112,0.8032,1.2778,2.0318,0.1694
4.262,0.7821,1.4213,2.0586,0.1585
3.94,0.7483,1.282,1.9099,0.1542
4.14,0.7653,1.3212,2.0537,0.1939
3.869,0.7408,1.2161,1.9121,0.1731
4.128,0.8003,1.2994,2.029,0.1623
3.838,0.7277,1.2483,1.8623,0.1759
4.225,0.8036,1.2942,2.1273,0.1749
3.873,0.7114,1.2755,1.8868,0.1817
4.038,0.7534,1.2886,1.9966,0.1621
4.315,0.7804,1.3992,2.1362,0.155
3.832,0.7306,1.2237,1.8784,0.1565
3.904,0.7271,1.2869,1.8908,0.1898
3.721,0.6976,1.2108,1.8131,0.1764
3.776,0.71,1.2107,1.8559,0.1889
4.121,0.737,1.3496,2.0347,0.1987
3.619,0.6759,1.1648,1.7786,0.1889
3.785,0.7042,1.2408,1.8408,0.1757
3.673,0.6925,1.1898,1.7909,0.1957
3.735,0.7069,1.1634,1.8647,0.1846
3.9,0.6868,1.2993,1.9142,0.1801
3.621,0.6592,1.207,1.7556,0.1788
4.38,0.7907,1.4412,2.1484,0.1651
3.726,0.6743,1.252,1.8006,0.1803
3.792,0.6742,1.2862,1.8317,0.1781
3.752,0.6858,1.2376,1.8292,0.1802
3.702,0.6637,1.242,1.7966,0.1779
3.622,0.6502,1.2048,1.767,0.1821
3.638,0.6612,1.2205,1.7572,0.1882
3.749,0.6581,1.305,1.7866,0.1487
3.526,0.6325,1.1858,1.7083,0.1893
3.613,0.6472,1.2143,1.7524,0.18
3.837,0.6606,1.343,1.8343,0.1636
3.683,0.6618,1.2562,1.7651,0.1857
3.555,0.6206,1.2284,1.706,0.192
3.515,0.6228,1.2022,1.6905,0.1607
3.488,0.6121,1.2284,1.6481,0.1931
3.988,0.6947,1.4172,1.8764,0.1555
3.524,0.6222,1.1973,1.7053,0.1699
3.762,0.6439,1.2864,1.8317,0.1601
3.515,0.6194,1.2444,1.6519,0.1547
3.452,0.5997,1.2169,1.6361,0.1925
3.377,0.5958,1.1846,1.5971,0.174
3.375,0.583,1.1916,1.6007,0.1876
3.512,0.5913,1.2489,1.6727,0.1749
3.415,0.5865,1.2183,1.611,0.1646
4.285,0.7082,1.5302,2.0468,0.1433
3.961,0.6967,1.441,1.8233,0.1152
3.482,0.6089,1.2626,1.6109,0.1421
3.936,0.6546,1.4045,1.8776,0.1284
3.658,0.5993,1.3435,1.7156,0.1437
3.714,0.6314,1.3674,1.7159,0.1147
3.463,0.5798,1.3036,1.5804,0.1355
3.272,0.5546,1.1685,1.5496,0.1574
3.399,0.5666,1.2636,1.5694,0.1575
3.267,0.5578,1.175,1.5345,0.1683
3.285,0.5515,1.1906,1.5437,0.1758
3.345,0.5489,1.2558,1.5409,0.1606
3.276,0.5577,1.1705,1.548,0.1699
3.272,0.5505,1.1804,1.5413,0.1613
3.36,0.5433,1.2702,1.5465,0.1554
3.185,0.5281,1.1757,1.482,0.173
3.882,0.6542,1.4789,1.7498,0.1291
3.626,0.5757,1.4005,1.6504,0.1201
3.196,0.519,1.2093,1.4677,0.1475
3.276,0.5351,1.2203,1.5209,0.1526
3.223,0.5321,1.1948,1.497,0.1509
3.263,0.5269,1.2541,1.4828,0.1509
3.176,0.5108,1.2159,1.4495,0.1532
3.189,0.5225,1.214,1.4529,0.1578
3.238,0.5229,1.2489,1.4671,0.1494
3.488,0.5377,1.3656,1.5854,0.1318
3.199,0.5319,1.195,1.4723,0.1434
3.223,0.5146,1.241,1.468,0.158
3.206,0.5108,1.2305,1.4656,0.1425
3.152,0.493,1.2529,1.4068,0.1522
3.096,0.4878,1.2202,1.3884,0.1442
3.158,0.5048,1.222,1.4322,0.1634
3.34,0.5088,1.3397,1.4918,0.1346
3.183,0.4998,1.2188,1.4647,0.1358
3.13,0.4989,1.2097,1.4223,0.1497
3.137,0.4869,1.2404,1.4102,0.1568
3.106,0.4976,1.1459,1.4633,0.1811
3.124,0.4907,1.2167,1.4172,0.1434
3.1,0.4853,1.2123,1.4025,0.1451
3.14,0.49,1.244,1.4064,0.1399
3.146,0.4763,1.2748,1.3955,0.1549
3.003,0.4776,1.1567,1.3688,0.1499
3.014,0.4687,1.1903,1.3557,0.157
3.069,0.4785,1.2142,1.3771,0.1465
3.092,0.4776,1.2448,1.3705,0.1475
2.976,0.4668,1.1536,1.3561,0.1466
3.142,0.4749,1.2574,1.4099,0.1411
3.051,0.467,1.235,1.3499,0.1434
3.059,0.4686,1.2266,1.3643,0.1407
3.019,0.4638,1.2115,1.3442,0.1432
3.041,0.474,1.2009,1.3669,0.1431
3.088,0.4686,1.2423,1.3777,0.1403
2.996,0.456,1.2175,1.323,0.1367
3.01,0.4514,1.223,1.3364,0.1457
3.008,0.4658,1.187,1.3557,0.1362
3.006,0.46,1.1954,1.351,0.1382
2.998,0.4525,1.2426,1.3031,0.1408
2.902,0.4456,1.149,1.3083,0.1437
2.999,0.4627,1.2012,1.3355,0.1429
2.908,0.4409,1.1838,1.2834,0.1375
2.951,0.4559,1.1756,1.3198,0.1419
2.964,0.4473,1.2172,1.2995,0.1407
2.882,0.4402,1.1532,1.2888,0.1425
2.889,0.445,1.1628,1.2817,0.144
2.89,0.439,1.1691,1.2823,0.1459
2.934,0.4434,1.2028,1.288,0.1441
2.899,0.4416,1.1697,1.288,0.1344
2.915,0.4425,1.1756,1.2974,0.141
2.845,0.4408,1.1381,1.2669,0.1488
2.859,0.4401,1.1391,1.2807,0.1547
2.891,0.4394,1.1718,1.2804,0.1464
2.81,0.4322,1.1311,1.2471,0.1451
2.892,0.4373,1.1883,1.2665,0.1439
2.877,0.4373,1.1667,1.273,0.1488
2.86,0.4342,1.1701,1.2566,0.1486
